"Shopping Cart","Selected Books"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to select more books."
"You have no items in your shopping cart.","You have not selected any books."
"Search entire store here...","Search all books here..."
"Add to Cart","Add Book"
"%1 is available to buy in increments of %2","%1 is available to select in increments of %2"
"You have placed no orders.","You have placed no book orders."
"My Orders","My Book Orders"
"You added %1 to your shopping cart.","%1 was added to your selection."
"Go to Checkout","Submit Book Selections"
"View and edit cart","View and edit selected books"
"Update Shopping Cart","Update Quantities"
"Clear Shopping Cart","Clear Book Selections"
"Continue Shopping","Select More Books"
"Proceed to Checkout","Submit Book Selections"
"Items in Cart","Books Selected"
"Review & Payments","Review"
"Order Summary","Book Summary"
"Recent Orders","Recent Book Orders"
"Recently Ordered","Recently Ordered Books"
"Address Book","My Addresses"
"View Order","View"
"Order #","Reference #"
"Items Ordered","Books Ordered"
"Product Name","Name"
